Date,Close,Volume
2019/1/2,250.179993,126925200
2019/1/3,244.210007,144140700
2019/1/4,252.389999,142628800
2019/1/7,254.380005,103139100
2019/1/8,256.769989,102512600
2019/1/9,257.970001,95006600
2019/1/10,258.880005,96823900
2019/1/11,258.980011,73858100
2019/1/14,257.399994,70908200
2019/1/15,260.350006,85208300
2019/1/16,260.980011,77636700
2019/1/17,262.959991,96118400
2019/1/18,266.459991,127900300
2019/1/22,262.859985,115531200
2019/1/23,263.410004,86030300
2019/1/24,263.549988,59204100
2019/1/25,265.779999,96883400
2019/1/28,263.76001,85613700
2019/1/29,263.410004,66136300
2019/1/30,267.579987,92473700
2019/1/31,269.929993,104012100
2019/2/1,270.059998,85782500
2019/2/4,271.959991,60744800
2019/2/5,273.100006,79552800
2019/2/6,272.73999,58347800
2019/2/7,270.140015,95482000
2019/2/8,270.470001,75788900
2019/2/11,270.619995,68021400
2019/2/12,274.100006,72270200
2019/2/13,274.98999,65277200
2019/2/14,274.380005,83234400
2019/2/15,277.369995,97088700
2019/2/19,277.850006,59120800
2019/2/20,278.410004,76610800
2019/2/21,277.420013,64214700
2019/2/22,279.140015,78114600
2019/2/25,279.519989,69030700
2019/2/26,279.320007,56844100
2019/2/27,279.200012,56921600
2019/2/28,278.679993,69268300
2019/3/1,280.420013,78880500
2019/3/4,279.399994,106494600
2019/3/5,279.019989,59114600
2019/3/6,277.329987,75039800
2019/3/7,275.01001,94885100
2019/3/8,274.459991,85795800
2019/3/11,278.440002,65098900
2019/3/12,279.48999,79667500
2019/3/13,281.339996,80639200
2019/3/14,281.160004,67518400
2019/3/15,281.309998,81309000
2019/3/18,282.329987,62199800
2019/3/19,282.399994,90268100
2019/3/20,281.549988,84609200
2019/3/21,284.730011,79550400
2019/3/22,279.25,122659300
2019/3/25,279.040009,85575200
2019/3/26,281.119995,68125900
2019/3/27,279.649994,72224700
2019/3/28,280.709991,56238500
2019/3/29,282.480011,82186800
2019/4/1,285.829987,77617900
2019/4/2,285.970001,40070400
2019/4/3,286.420013,68243200
2019/4/4,287.179993,48997500
2019/4/5,288.570007,58621700
2019/4/8,288.790009,53566300
2019/4/9,287.309998,66142300
2019/4/10,288.290009,52601500
2019/4/11,288.209991,55093100
2019/4/12,290.160004,69727800
2019/4/15,289.970001,49596700
2019/4/16,290.160004,52153200
2019/4/17,289.450012,58268300
2019/4/18,290.019989,68708500
2019/4/22,290.269989,40160100
2019/4/23,292.880005,52246600
2019/4/24,292.230011,50392900
2019/4/25,292.049988,57770900
2019/4/26,293.410004,50916400
2019/4/29,293.869995,57197700
2019/4/30,294.019989,81111700
2019/5/1,291.809998,71671900
2019/5/2,291.179993,65030200
2019/5/3,294.029999,56543700
2019/5/6,292.820007,107198100
2019/5/7,287.929993,144729900
2019/5/8,287.529999,91568300
2019/5/9,286.660004,103471100
2019/5/10,288.100006,112429300
2019/5/13,280.859985,127290500
2019/5/14,283.399994,77003200
2019/5/15,285.059998,73956400
2019/5/16,287.700012,76749600
2019/5/17,285.839996,100353000
2019/5/20,283.950012,62877600
2019/5/21,286.51001,46847100
2019/5/22,285.630005,49482500
2019/5/23,282.140015,98733800
2019/5/24,282.779999,55268100
2019/5/28,280.149994,70029400
